"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","52/2183","139/9521",0.37410071942446,1.63161381110412,4.09136091533535,7.56935361811495e-05,0.00125435002814476,0.00101683547351118,"5241/2099/7031/3868/9687/9568/3760/1956/5914/107/399694/3857/148327/115/8688/596/7039/3708/3875/5443/111/64764/90993/3872/3885/25984/3861/53358/9586/25759/192666/2770/2852/5332/113/5567/2353/8687/114/3765/3884/3882/51806/3310/3886/390792/125115/3859/3763/810/54474/4988",52
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","30/2183","69/9521",0.434782608695652,1.89627357645044,4.07530174214643,0.00011758578249401,0.00185999328672344,0.0015077985506409,"3066/776/148327/2890/111/5578/64764/90993/2904/2891/6571/816/9586/2903/4128/2906/5567/2902/2353/2354/5173/51806/7054/1644/84152/2893/6570/1812/810/5535",30
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","32/2183","76/9521",0.421052631578947,1.83639125298358,3.99274694121248,0.00014778266744687,0.00223601601180481,0.00181262036044673,"1131/887/480/107/483/115/3708/340156/477/115111/111/5578/816/3759/2770/495/496/6752/3766/5332/113/5567/1080/114/2520/3772/3773/51806/389015/3758/810/23439",32
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","27/2183","61/9521",0.442622950819672,1.93046867373069,3.97628581490303,0.00017712917416563,0.00245262768061434,0.00198821602663231,"480/115019/1811/30061/540/341208/483/79901/113235/4496/477/140803/7018/492/261729/491/4501/10568/55503/795/4489/340024/6543/6569/6523/23439/645745",27
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","23/2183","49/9521",0.469387755102041,2.04720147335159,4.00833423695678,0.000181422672868266,0.00245262768061434,0.00198821602663231,"148327/111/64764/90993/2904/2891/6571/9586/2903/2770/4128/2906/5567/2902/2912/2354/5173/7054/1644/84152/1813/6570/1812",23
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","41/2183","106/9521",0.386792452830189,1.68696790810638,3.87914227199618,0.000183242297976933,0.00245262768061434,0.00198821602663231,"1360/1131/480/1811/5874/5646/107/483/1359/115/3708/8399/477/111/5578/1358/391013/492/491/3778/952/277/5332/113/1080/114/8671/885/6262/886/22802/5407/64600/1357/26279/50487/5408/440387/23439/5406/9635",41
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","33/2183","81/9521",0.407407407407407,1.77687857348874,3.82971225287829,0.000247702982214548,0.00319261621520973,0.00258808574009742,"9/1548/7366/2947/1549/7371/6241/7378/10720/7498/2950/2938/7363/10/7083/2946/2949/54490/7367/7364/221357/4832/2939/4353/1807/1066/2940/2953/2944/54578/54575/54658/54657",33
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","35/2183","89/9521",0.393258426966292,1.71516879667708,3.6970740835619,0.000366130997990037,0.00455048526073332,0.00368883862636579,"18/9568/2568/2744/107/776/2558/115/2752/10991/111/5578/778/6538/773/2564/59345/774/2770/51764/5334/81539/2567/113/5567/2555/114/2571/55879/2786/9001/2569/2556/3763/140679",35
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","35/2183","91/9521",0.384615384615385,1.67747277916769,3.54171155271214,0.000596639315986565,0.00715967179183878,0.00580396866368056,"9568/2568/3760/5150/107/2558/115/111/5578/773/2564/408/59345/50940/5137/774/2770/5138/51764/2567/113/5567/2555/114/3765/55879/5142/2786/10846/2569/2556/3763/1812/140679/4988",35
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","37/2183","98/9521",0.377551020408163,1.64666205465237,3.509557065476,0.000639868799434685,0.00733081833652019,0.00594270814938721,"480/185/8912/107/776/483/148327/115/3708/5443/23683/1589/51305/477/111/5578/64764/949/778/90993/492/816/491/9586/5138/4929/5332/113/5567/3991/57172/114/51806/810/23439/3283/4158",37
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","30/2183","75/9521",0.4,1.7445716903344,3.530771961518,0.000672537382812109,0.00733081833652019,0.00594270814938721,"480/107/483/148327/115/3708/7173/477/111/2882/5578/64764/90993/9586/4036/213/432/50506/5332/113/5567/1081/7253/114/53905/389434/405753/7276/23439/257202",30
