"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000069482.7",220.015539232666,3.23941478044109,0.164371132897061,19.7079299956508,1.84355341335327e-86,4.51301497035817e-85,"GAL"
"ENSG00000133142.18",10169.1984233521,-1.5140496028485,0.0768253045954149,-19.7076941096679,1.85216572595888e-86,4.53177152251416e-85,"TCEAL4"
"ENSG00000124243.17",1955.8124452671,-1.59673580519211,0.0810507874796138,-19.7004354287578,2.13773668845576e-86,5.22512811186006e-85,"BCAS4"
"ENSG00000277829.1",19.1168050598076,2.0176161846863,0.102464823096342,19.6908180165328,2.58481625598176e-86,6.31465844257183e-85,NA
"ENSG00000118096.10",1973.20848565843,-1.05656155489445,0.0536967974263962,-19.6764351978851,3.43318167045747e-86,8.38290498305711e-85,"IFT46"
"ENSG00000137842.7",1702.20523475161,-1.01958332734384,0.0518185738994978,-19.6760205968099,3.46137594116198e-86,8.44742244146321e-85,"TMEM62"
"ENSG00000156042.18",251.097098604329,-1.86370823881279,0.0947323375106904,-19.6734112952979,3.64419464246086e-86,8.88903887033407e-85,"CFAP70"
"ENSG00000144407.9",132.39245353783,2.63219340751881,0.133822194075263,19.6693338179648,3.94935071801081e-86,9.6284605158375e-85,"PTH2R"
"ENSG00000134759.14",13053.2289350687,-1.62599072568709,0.0826861178775979,-19.6646156262177,4.3343966852104e-86,1.05617973800525e-84,"ELP2"
"ENSG00000110427.17",951.38671815645,1.90010286679099,0.0967081783075912,19.6477991835138,6.03744596620112e-86,1.46816769908329e-84,"KIAA1549L"
"ENSG00000166123.14",2826.96249200308,1.64552685011548,0.0837587060727639,19.6460395255623,6.25037856932839e-86,1.51917330701102e-84,"GPT2"
"ENSG00000146233.8",243.523139532922,2.38484634385576,0.121402153259577,19.6441848832499,6.48291732562727e-86,1.57488985485068e-84,"CYP39A1"
"ENSG00000149292.17",1047.43285662752,-1.1951180004913,0.0608404851407714,-19.6434659869339,6.57535715439815e-86,1.59653287485634e-84,"TTC12"
"ENSG00000199568.1",7.21658717178426,4.7863141600167,0.24367656603781,19.6420781769965,6.75754475271339e-86,1.63993402861396e-84,"RNU5A-1"
"ENSG00000012171.20",2179.59091682531,-2.38072560712838,0.121214569887867,-19.6405894879695,6.95857606961778e-86,1.68786173464834e-84,"SEMA3B"
"ENSG00000129680.16",534.397807960311,1.33141440685382,0.0677969740022103,19.6382571117468,7.28559813722094e-86,1.7662852992865e-84,"MAP7D3"
"ENSG00000084628.10",2780.86472395538,-3.03459371584005,0.154544648914117,-19.6357087557683,7.66044957460292e-86,1.8562187950411e-84,"NKAIN1"
"ENSG00000184368.16",127.680688288805,3.09932828906521,0.157876992289702,19.6312853704356,8.35734957204504e-86,2.02303009666047e-84,"MAP7D2"
"ENSG00000105261.7",5.66746914888917,2.19278372998816,0.111708413568067,19.6295306678223,8.65100757824966e-86,2.09199086401618e-84,"OVOL3"
"ENSG00000116641.18",3120.6703488864,1.05834042784218,0.053933361323763,19.6231127054911,9.81549365187508e-86,2.37238441853506e-84,"DOCK7"
"ENSG00000152939.17",2106.19849959646,-1.05374233621371,0.0537074244535976,-19.6200496846415,1.04251247967765e-85,2.51717937308294e-84,"MARVELD2"
"ENSG00000164309.15",2049.63662814962,-1.9191953656602,0.0978215657167789,-19.6193482653592,1.05699592126011e-85,2.55085852718273e-84,"CMYA5"
"ENSG00000230251.1",1.48616068603125,4.48668509694973,0.228807803062964,19.6089689114102,1.29633312162331e-85,3.12371084238762e-84,"PHB1P4"
"ENSG00000184709.7",169.718399063299,-3.22299628923997,0.164364715621705,-19.6088088434862,1.30041894565211e-85,3.13197364956121e-84,"LRRC26"
"ENSG00000159166.15",2734.71361834927,2.14945484474631,0.109699951236744,19.5939453073007,1.74156938042991e-85,4.19022295885777e-84,"LAD1"
"ENSG00000154188.10",283.662884485461,1.98287962850841,0.101200655662998,19.5935452741677,1.75530934822876e-85,4.22115163333257e-84,"ANGPT1"
"ENSG00000267879.2",3.12742632239594,4.33361660067656,0.221191337400846,19.5921623857408,1.80364579338752e-85,4.33520448333019e-84,NA
"ENSG00000231852.9",134.959829022181,-2.63175980580685,0.134338585348619,-19.5904981355672,1.86358013854553e-85,4.47700483963833e-84,"CYP21A2"
"ENSG00000135925.9",120.017211524813,2.37230619163921,0.121122357601883,19.5860305116975,2.03447813953617e-85,4.8851036777473e-84,"WNT10A"
"ENSG00000251095.7",78.104259267812,-3.52278579451358,0.179964442077011,-19.5748990959342,2.53137645068397e-85,6.07517608473913e-84,"LOC105377329"
"ENSG00000235713.1",12.4331084745155,-3.62051985295838,0.184959922758494,-19.5746181062465,2.54537450517064e-85,6.10569788873602e-84,"LOC100128334"
"ENSG00000150551.11",41.742856953905,2.01591220506498,0.10298671951555,19.5744870265588,2.55193088044479e-85,6.11834730496585e-84,"LYPD1"
"ENSG00000246334.2",23.5371115688499,1.86634242989022,0.0953513574121065,19.5733178902103,2.61115920620448e-85,6.257203470667e-84,NA
"ENSG00000226200.7",390.174856308204,-1.14496764727836,0.0585074257899537,-19.5696124349904,2.80808794289595e-85,6.72573027287188e-84,NA
"ENSG00000170011.14",284.326802323834,-2.19579621025322,0.112226479735495,-19.5657585930563,3.02863040292444e-85,7.2503161658764e-84,"MYRIP"
"ENSG00000198838.14",143.771891870359,1.73935999338292,0.0889228683122552,19.5603226301148,3.36938725508896e-85,8.06201555611778e-84,"RYR3"
"ENSG00000109576.14",298.311353417351,1.98817855904007,0.101657355214061,19.5576459259003,3.55096950675237e-85,8.4922308359328e-84,"AADAT"
"ENSG00000188505.5",1033.54127829138,3.60890782850788,0.184568968743965,19.5531667813248,3.87691612847248e-85,9.26709270268005e-84,"NCCRP1"
"ENSG00000255910.2",9.12727210255221,3.3798393321531,0.172934675336728,19.5440233462264,4.63783029308584e-85,1.10803714021235e-83,NA
"ENSG00000153551.14",1433.84788745178,1.62025307851948,0.0829588710124541,19.5307995244564,6.00912555521876e-85,1.43493825914731e-83,"CMTM7"
"ENSG00000186377.8",3536.02761609516,-3.10060275712136,0.158783775520967,-19.5272013588815,6.44774921040339e-85,1.5389079909735e-83,"CYP4X1"
"ENSG00000250166.3",7.97313835842256,3.35029116671201,0.171601471195134,19.5236739136244,6.90872942518398e-85,1.64810695397073e-83,NA
"ENSG00000133983.16",287.717498534696,-1.11882999018343,0.0573429304540186,-19.5112105594357,8.8169306200839e-85,2.1022648523997e-83,"COX16"
"ENSG00000253509.1",1.42534043187602,4.09252031998062,0.209768316833428,19.5097161561838,9.07847752228196e-85,2.16354501551754e-83,NA
"ENSG00000177335.11",73.4807179650744,2.17921388330465,0.111702712576829,19.5090507028269,9.19742011061386e-85,2.19079606800621e-83,"LY6S-AS1"
"ENSG00000287415.1",15.0948024204059,2.60145068151174,0.133356679709685,19.507464396797,9.48726128426987e-85,2.25870708368935e-83,NA
"ENSG00000260123.2",12.4113026363952,2.47381869291468,0.12687108194001,19.4986805116425,1.12651149388383e-84,2.67929943186226e-83,NA
"ENSG00000272931.1",31.396706836119,2.0804517100233,0.106707117601245,19.4968410429542,1.16775728292799e-84,2.77601403544303e-83,NA
"ENSG00000176383.9",40.4787627826229,2.03166980834882,0.10420803814899,19.4962868933784,1.18047552556766e-84,2.80484984493e-83,"B3GNT4"
"ENSG00000237943.7",100.800201033575,2.35007779210947,0.120541420787838,19.4960186859402,1.18668065465063e-84,2.81818926186875e-83,"PRKCQ-AS1"
"ENSG00000287259.1",2.70165070596803,3.25131389859514,0.16680423475274,19.4917946982263,1.28880782306958e-84,3.05768053028452e-83,"LOC124904530"
"ENSG00000260026.3",2.47964187351106,4.55152447761634,0.233631139165657,19.4816688129447,1.5707527474832e-84,3.72288699151249e-83,"LINC02189"
"ENSG00000214708.4",54.9358101274711,-2.46230629803573,0.126438423481025,-19.4743514688417,1.81204489059621e-84,4.29264702920326e-83,"LOC105371730"
"ENSG00000187951.11",233.566706972074,1.37688148542651,0.0707690538455339,19.4559826733278,2.59333946385503e-84,6.13739846217642e-83,"LOC100288637"
"ENSG00000106688.12",2914.44908387344,-3.12893839971306,0.16082490225768,-19.4555591565027,2.61485308543617e-84,6.1852430101783e-83,"SLC1A1"
"ENSG00000145832.14",266.637273099868,-3.55383264479941,0.182669751457976,-19.4549596549759,2.64561096114406e-84,6.25489588022196e-83,"SLC25A48"
"ENSG00000129295.9",890.630906441923,-1.8782602705913,0.0965749071496197,-19.4487401130129,2.98679735515949e-84,7.05804784318585e-83,"DNAAF11"
"ENSG00000100596.7",9313.05674750664,-1.04318062945223,0.0536629744531844,-19.439485792244,3.57733179024768e-84,8.44515945948222e-83,"SPTLC2"
"ENSG00000264589.4",132.308822618188,-3.32032500832341,0.170856455663041,-19.4334185116873,4.02632540363172e-84,9.49571609905964e-83,NA
